NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	3	4.92637825012207	0.025488233	Yes	
row_1	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	54	4.007184028625488	0.04439549	Yes	
row_2	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	399	3.071955919265747	0.04715923	Yes	
row_3	VEZF1	vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]	454	2.989114999771118	0.060621873	Yes	
row_4	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	609	2.814941883087158	0.06934156	Yes	
row_5	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3526]	810	2.6133551597595215	0.07524821	Yes	
row_6	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	862	2.5795624256134033	0.08669746	Yes	
row_7	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	1067	2.4145166873931885	0.09141719	Yes	
row_8	SEC14L1	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	1074	2.41021990776062	0.10371332	Yes	
row_9	H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	1207	2.3062267303466797	0.11063342	Yes	
row_10	CLIC2	chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063]	1453	2.144441604614258	0.11237604	Yes	
row_11	ATP6V0A1	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	1540	2.102590560913086	0.120003164	Yes	
row_12	GAPVD1	GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]	1727	2.0043089389801025	0.12328176	Yes	
row_13	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	1856	1.9332677125930786	0.12841703	Yes	
row_14	FBXO7	F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]	1872	1.9222161769866943	0.13783151	Yes	
row_15	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1914	1.899228811264038	0.1461287	Yes	
row_16	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	2025	1.8509093523025513	0.15152673	Yes	
row_17	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	2048	1.8394992351531982	0.16024268	Yes	
row_18	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	2114	1.8097399473190308	0.16715372	Yes	
row_19	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	2182	1.7800631523132324	0.17383377	Yes	
row_20	SYNJ1	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	2206	1.7691526412963867	0.18214573	Yes	
row_21	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	2324	1.7239028215408325	0.18661503	Yes	
row_22	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	2329	1.7217692136764526	0.19540991	Yes	
row_23	RBM38	RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]	2333	1.7189844846725464	0.20422867	Yes	
row_24	BACH1	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]	2469	1.673133134841919	0.20774333	Yes	
row_25	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	2673	1.5943065881729126	0.20823865	Yes	
row_26	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	2731	1.573479413986206	0.21422882	Yes	
row_27	DCAF11	DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]	2814	1.5415022373199463	0.21909337	Yes	
row_28	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	2863	1.5285524129867554	0.22519544	Yes	
row_29	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	2978	1.4894949197769165	0.22856161	Yes	
row_30	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	2993	1.483850359916687	0.23573619	Yes	
row_31	RANBP10	RAN binding protein 10 [Source:HGNC Symbol;Acc:HGNC:29285]	3063	1.4599785804748535	0.24067596	Yes	
row_32	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	3154	1.4315682649612427	0.24466214	Yes	
row_33	YPEL5	yippee like 5 [Source:HGNC Symbol;Acc:HGNC:18329]	3159	1.4294161796569824	0.25193757	Yes	
row_34	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	3176	1.4247097969055176	0.25872803	Yes	
row_35	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	3216	1.4111775159835815	0.2645655	Yes	
row_36	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]	3607	1.2774308919906616	0.25623736	Yes	
row_37	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	3615	1.2754523754119873	0.2625975	Yes	
row_38	NARF	nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916]	3634	1.27119779586792	0.26851338	Yes	
row_39	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	3669	1.2601535320281982	0.27375782	Yes	
row_40	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	3720	1.2458995580673218	0.27831414	Yes	
row_41	FBXO9	F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]	3785	1.2286626100540161	0.28224358	Yes	
row_42	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	3837	1.2138183116912842	0.28659478	Yes	
row_43	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	4166	1.129955768585205	0.2798796	Yes	
row_44	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	4244	1.1115971803665161	0.28270173	Yes	
row_45	KHNYN	KH and NYN domain containing [Source:HGNC Symbol;Acc:HGNC:20166]	4316	1.0941991806030273	0.2856637	Yes	
row_46	TNS1	tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]	4362	1.0858350992202759	0.28958002	Yes	
