NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	598	2.8304049968719482	-0.011301401	No	
row_1	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	631	2.7825586795806885	-0.0010764619	No	
row_2	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	775	2.6433169841766357	0.004315135	No	
row_3	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	796	2.626741409301758	0.014359289	No	
row_4	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	846	2.586960792541504	0.023126675	No	
row_5	RNPS1	RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]	891	2.556278705596924	0.03195967	No	
row_6	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	930	2.5199246406555176	0.04087332	No	
row_7	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	1043	2.438199281692505	0.046610434	No	
row_8	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	1088	2.4009809494018555	0.054804225	No	
row_9	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	1114	2.3748979568481445	0.06361988	No	
row_10	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]	1339	2.2207908630371094	0.064163536	No	
row_11	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	1409	2.1711952686309814	0.070452005	No	
row_12	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	1424	2.1608331203460693	0.07880875	No	
row_13	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	1522	2.110382318496704	0.083772264	No	
row_14	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	1581	2.081761360168457	0.09011481	No	
row_15	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	1666	2.0417683124542236	0.09529485	No	
row_16	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	1797	1.9653871059417725	0.098395005	No	
row_17	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1893	1.910786509513855	0.10261374	No	
row_18	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	1894	1.9093992710113525	0.110472895	No	
row_19	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1908	1.903051733970642	0.11780698	No	
row_20	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	1986	1.8666720390319824	0.12253498	No	
row_21	CCT4	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]	1988	1.8655335903167725	0.1301752	No	
row_22	COPS5	COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240]	2217	1.7649126052856445	0.12868893	No	
row_23	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	2225	1.7618125677108765	0.13567194	No	
row_24	SF3B3	splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]	2288	1.7372907400131226	0.14044312	No	
row_25	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	2507	1.6579078435897827	0.1389002	No	
row_26	U2AF1	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	2525	1.653835415840149	0.14505498	No	
row_27	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	2541	1.646139144897461	0.15125485	No	
row_28	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	2749	1.5653139352798462	0.149753	No	
row_29	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	2752	1.563592553138733	0.15611205	No	
row_30	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	3306	1.3764673471450806	0.1405533	No	
row_31	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	3322	1.3699856996536255	0.1456165	No	
row_32	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	3337	1.3655707836151123	0.15069991	No	
row_33	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	3530	1.3006322383880615	0.14868434	No	
row_34	TCP1	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	3534	1.3000693321228027	0.15392034	No	
row_35	SF3A1	splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]	3643	1.2681305408477783	0.15499492	No	
row_36	UBA2	ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]	3916	1.1923483610153198	0.14946322	No	
row_37	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	4132	1.1387544870376587	0.1458986	No	
row_38	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	4486	1.052208423614502	0.13668126	No	
row_39	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	4640	1.0145528316497803	0.134985	No	
row_40	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	4708	0.9988507032394409	0.13652483	No	
row_41	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	4748	0.991859495639801	0.13911052	No	
row_42	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	4873	0.9653131365776062	0.13832462	No	
row_43	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	5133	0.9042147994041443	0.13210589	No	
row_44	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	5172	0.895393431186676	0.13433291	No	
row_45	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	5248	0.8792905211448669	0.13507357	No	
row_46	HNRNPR	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]	5309	0.8658291697502136	0.13633454	No	
row_47	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	5391	0.8509041666984558	0.13672808	No	
row_48	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	5667	0.7977585196495056	0.12945709	No	
row_49	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	5791	0.7772985696792603	0.1279357	No	
