NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	27	4.3925089836120605	0.058558732	Yes	
row_1	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	284	3.275097608566284	0.093218416	Yes	
row_2	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	453	2.9904372692108154	0.12737502	Yes	
row_3	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	501	2.929720163345337	0.16532609	Yes	
row_4	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	524	2.908644676208496	0.2039454	Yes	
row_5	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	591	2.840496778488159	0.23996088	Yes	
row_6	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	696	2.7066283226013184	0.27270997	Yes	
row_7	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	740	2.6711721420288086	0.3073062	Yes	
row_8	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	966	2.498106002807617	0.33260828	Yes	
row_9	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1564	2.090813159942627	0.3381871	Yes	
row_10	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	1729	2.0026979446411133	0.3590966	Yes	
row_11	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1829	1.9476028680801392	0.3817395	Yes	
row_12	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	2313	1.7293691635131836	0.38676587	Yes	
row_13	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	2368	1.709576964378357	0.40789717	Yes	
row_14	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	2473	1.6719515323638916	0.42660972	Yes	
row_15	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	2798	1.5462068319320679	0.4352198	Yes	
row_16	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2817	1.5403450727462769	0.45542926	Yes	
row_17	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	3228	1.4074010848999023	0.45887396	Yes	
row_18	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	4089	1.149780035018921	0.4416488	Yes	
row_19	CDK9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	4137	1.138092279434204	0.45529446	Yes	
row_20	TRIM33	tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]	4249	1.1088231801986694	0.4661004	Yes	
row_21	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]	4259	1.1059759855270386	0.4807607	Yes	
row_22	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	4481	1.0532212257385254	0.486614	Yes	
row_23	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	4500	1.048084020614624	0.50014544	Yes	
row_24	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	4947	0.9489666819572449	0.49599695	Yes	
row_25	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	5145	0.900963544845581	0.5007007	Yes	
row_26	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	5525	0.8234027028083801	0.49740598	Yes	
row_27	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	5882	0.7635231614112854	0.49417675	Yes	
row_28	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	6113	0.7217146754264832	0.4951893	Yes	
row_29	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	6147	0.7166136503219604	0.50365144	Yes	
row_30	KLF10	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	7031	0.5705973505973816	0.47769123	No	
row_31	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	7222	0.5421035289764404	0.47779384	No	
row_32	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	8534	0.3775603473186493	0.4328796	No	
row_33	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	8845	0.345087468624115	0.42572948	No	
row_34	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	9655	0.2794814705848694	0.39864427	No	
row_35	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	9755	0.2727837562561035	0.3985664	No	
row_36	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	10690	0.21051524579524994	0.36577478	No	
row_37	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	12991	0.0037284737918525934	0.27804244	No	
row_38	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	13006	5.16140426043421E-4	0.2775151	No	
row_39	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	14312	0.0	0.22770786	No	
row_40	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	19096	-0.017453165724873543	0.04539434	No	
row_41	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	20472	-0.2345786690711975	-0.0039022565	No	
row_42	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	20600	-0.2548128068447113	-0.0052925833	No	
row_43	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	21019	-0.3322369456291199	-0.016739013	No	
row_44	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	22257	-0.6411007642745972	-0.055253714	No	
row_45	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	22943	-0.8749602437019348	-0.069527954	No	
row_46	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	23538	-1.103212833404541	-0.07723255	No	
row_47	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	23579	-1.1181676387786865	-0.06359003	No	
row_48	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	24174	-1.4053806066513062	-0.067195386	No	
row_49	ID1	inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]	24464	-1.5611355304718018	-0.057046976	No	
row_50	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	24784	-1.7604753971099854	-0.045339298	No	
row_51	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	25276	-2.1270453929901123	-0.035223324	No	
row_52	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	25420	-2.258798837661743	-0.010038037	No	
row_53	ID3	inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]	26007	-3.0834743976593018	0.009427133	No	
