NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	36	4.230135440826416	0.01783785	No	
row_1	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	44	4.170089244842529	0.03651587	No	
row_2	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	54	4.007184028625488	0.05437698	No	
row_3	SLC12A4	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	66	3.974268674850464	0.072011776	No	
row_4	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	195	3.448474168777466	0.08276732	No	
row_5	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	302	3.245753765106201	0.09344614	No	
row_6	AP4B1	adaptor related protein complex 4 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:572]	583	2.846921682357788	0.09563496	No	
row_7	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	603	2.8194286823272705	0.10771575	No	
row_8	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	675	2.7395365238189697	0.11743785	No	
row_9	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	961	2.5028483867645264	0.11787148	No	
row_10	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	1106	2.3838441371917725	0.123175845	No	
row_11	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1554	2.0959057807922363	0.11554317	No	
row_12	MARCHF6	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	1701	2.017803192138672	0.11910768	No	
row_13	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	1849	1.9365572929382324	0.122264676	No	
row_14	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	1969	1.8742002248764038	0.12621295	No	
row_15	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	1978	1.869360089302063	0.13439931	No	
row_16	CSAD	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	2137	1.7952985763549805	0.13649233	No	
row_17	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	2140	1.7948848009109497	0.14457057	No	
row_18	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	2644	1.6044765710830688	0.13255589	No	
row_19	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	2768	1.5581861734390259	0.13491486	No	
