NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	199	0.5983468	1.9261187	0.0	0.0	0.0	5269	tags=56%, list=20%, signal=69%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	157	0.453332	1.4358506	0.0024301338	0.08262155	0.267	4976	tags=43%, list=19%, signal=53%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.50365144	1.3928963	0.03617945	0.10112012	0.416	6147	tags=56%, list=23%, signal=72%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.41132084	1.2815666	0.04589372	0.27390316	0.853	5426	tags=41%, list=21%, signal=51%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.46324703	1.2045535	0.1748879	0.46770772	0.991	6590	tags=47%, list=25%, signal=63%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.3727386	1.2006575	0.09389672	0.40477163	0.991	4531	tags=34%, list=17%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.3787648	1.1687926	0.14591195	0.45749432	0.998	3602	tags=27%, list=14%, signal=32%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	200	0.34657812	1.1200439	0.19836639	0.5919522	1.0	5426	tags=35%, list=21%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.36419034	1.0776634	0.29594594	0.7124194	1.0	5160	tags=28%, list=20%, signal=34%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	200	0.33537963	1.0713902	0.28268552	0.67051804	1.0	7287	tags=45%, list=28%, signal=62%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	159	0.3288912	1.0455619	0.34686348	0.71833086	1.0	4873	tags=31%, list=19%, signal=38%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	0.33127543	1.0167942	0.43002546	0.78146905	1.0	7037	tags=41%, list=27%, signal=56%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.30815277	0.995684	0.47362384	0.8074201	1.0	6555	tags=38%, list=25%, signal=50%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.37655887	0.9945712	0.45705968	0.7534424	1.0	6282	tags=48%, list=24%, signal=62%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	0.3065811	0.99330276	0.47681332	0.7078084	1.0	4531	tags=31%, list=17%, signal=37%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.3026983	0.97256243	0.5547786	0.73510826	1.0	5482	tags=29%, list=21%, signal=36%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	198	0.29812533	0.9645125	0.56820875	0.71565104	1.0	6207	tags=33%, list=24%, signal=43%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	200	0.29578096	0.9593339	0.587822	0.692086	1.0	6675	tags=37%, list=25%, signal=49%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.28871927	0.9309016	0.64588237	0.7371613	1.0	6619	tags=42%, list=25%, signal=55%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	0.2857685	0.92369425	0.6643193	0.7196533	1.0	4857	tags=22%, list=18%, signal=26%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		100	0.29852775	0.900001	0.685422	0.7453181	1.0	3754	tags=26%, list=14%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		135	0.253443	0.7819485	0.9515924	0.94020784	1.0	6402	tags=27%, list=24%, signal=35%	
