NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.6639002	-2.453334	0.0	0.0	0.0	3754	tags=63%, list=14%, signal=72%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.53764665	-1.872223	0.0	0.0015555555	0.001	3488	tags=34%, list=13%, signal=39%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.496687	-1.8436171	0.0	0.001037037	0.001	3760	tags=45%, list=14%, signal=52%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.49307016	-1.7784886	0.0	7.7777775E-4	0.001	3899	tags=44%, list=15%, signal=52%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.47254333	-1.7549431	0.0	0.001131313	0.002	4014	tags=50%, list=15%, signal=58%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	-0.50419116	-1.7150629	0.0	0.0025684019	0.006	2528	tags=34%, list=10%, signal=38%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.45105687	-1.6618646	0.0	0.0042079813	0.01	3150	tags=33%, list=12%, signal=37%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.43205687	-1.5955961	0.0	0.008991871	0.023	3130	tags=32%, list=12%, signal=35%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.41865227	-1.5587602	0.0	0.009379117	0.028	4337	tags=47%, list=17%, signal=55%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	103	-0.44774598	-1.5358318	0.0	0.009437631	0.032	3871	tags=35%, list=15%, signal=41%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	200	-0.4029981	-1.5121479	0.0064102565	0.0115656415	0.044	3325	tags=23%, list=13%, signal=26%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.38937932	-1.4553661	0.0	0.014745068	0.06	3680	tags=37%, list=14%, signal=43%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	199	-0.37851104	-1.4177637	0.0	0.023531007	0.1	3772	tags=31%, list=14%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	-0.37917945	-1.4151206	0.0	0.021983553	0.101	3359	tags=29%, list=13%, signal=34%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	-0.42089683	-1.3803455	0.019455252	0.029958311	0.146	3305	tags=39%, list=13%, signal=45%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	199	-0.36413145	-1.350664	0.0	0.037568923	0.196	2687	tags=22%, list=10%, signal=24%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.3653167	-1.3019944	0.020833334	0.0574712	0.301	3928	tags=40%, list=15%, signal=47%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	-0.42753342	-1.269174	0.0955414	0.07160653	0.374	3513	tags=32%, list=13%, signal=37%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	138	-0.34862366	-1.260699	0.038043477	0.07381255	0.401	3999	tags=27%, list=15%, signal=31%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.32503626	-1.1996548	0.053691275	0.11766748	0.586	3469	tags=33%, list=13%, signal=38%	
