NAME	TITLE	SCORE	
MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	4.967962	
MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	4.9512925	
H4C5	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	4.938943	
ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	4.9263783	
H1-4	H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]	4.9256687	
DPH1-AS1	DPH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56040]	4.907112	
ENSG00000205890	novel transcript, antisense to CCDC64B	4.8894196	
H2AC20	H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738]	4.8744335	
FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	4.868916	
ARID3B	AT-rich interaction domain 3B [Source:HGNC Symbol;Acc:HGNC:14350]	4.829236	
MYEF2	myelin expression factor 2 [Source:HGNC Symbol;Acc:HGNC:17940]	4.7223973	
MAP1S	microtubule associated protein 1S [Source:HGNC Symbol;Acc:HGNC:15715]	4.69691	
PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]	4.6937675	
SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	4.674096	
SPRED3	sprouty related EVH1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31041]	4.6364694	
GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	4.6168137	
FBXL19-AS1	FBXL19 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27557]	4.6080036	
MPDZ	multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]	4.582121	
ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	4.570485	
GPSM1	G protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858]	4.5583644	
GPRASP1	G protein-coupled receptor associated sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:24834]	4.5249753	
NEK10	NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]	4.5001144	
WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	4.494534	
MAGI2-AS3	MAGI2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40862]	4.469123	
ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	4.443363	
IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	4.4316487	
HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	4.400411	
SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	4.392509	
ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	4.355148	
MARCHF4	membrane associated ring-CH-type finger 4 [Source:HGNC Symbol;Acc:HGNC:29269]	4.3460636	
ENSG00000176593	novel transcript, antisense to ZNF606	4.3128204	
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	4.3058453	
SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	4.286843	
H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	4.265719	
SSC5D	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	4.25567	
ZNF671	zinc finger protein 671 [Source:HGNC Symbol;Acc:HGNC:26279]	4.2424064	
LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	4.2301354	
FNBP4	formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]	4.218442	
TVP23C	trans-golgi network vesicle protein 23 homolog C [Source:HGNC Symbol;Acc:HGNC:30453]	4.217833	
DGKD	diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]	4.2117915	
C3orf52	chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]	4.209365	
