,Mpox.F,Killed.F,Mock.F,,,
GSM593820,1,0,0,Fibroblast,Mpox.F,GSM593820
GSM593848,0,0,1,Fibroblast,Mock.F,GSM593848
GSM593869,0,1,0,Fibroblast,Killed.F,GSM593869
GSM593874,0,0,1,Fibroblast,Mock.F,GSM593874
GSM593878,1,0,0,Fibroblast,Mpox.F,GSM593878
GSM593888,0,0,1,Fibroblast,Mock.F,GSM593888
GSM593894,0,0,1,Fibroblast,Mock.F,GSM593894
GSM593896,1,0,0,Fibroblast,Mpox.F,GSM593896
GSM593905,1,0,0,Fibroblast,Mpox.F,GSM593905
GSM593907,0,1,0,Fibroblast,Killed.F,GSM593907
GSM593910,1,0,0,Fibroblast,Mpox.F,GSM593910
GSM593921,1,0,0,Fibroblast,Mpox.F,GSM593921
GSM593923,0,0,1,Fibroblast,Mock.F,GSM593923
GSM593927,0,0,1,Fibroblast,Mock.F,GSM593927
GSM593950,0,1,0,Fibroblast,Killed.F,GSM593950
GSM593951,1,0,0,Fibroblast,Mpox.F,GSM593951
GSM593952,0,1,0,Fibroblast,Killed.F,GSM593952
GSM593954,0,0,1,Fibroblast,Mock.F,GSM593954
GSM593955,1,0,0,Fibroblast,Mpox.F,GSM593955
GSM593956,0,1,0,Fibroblast,Killed.F,GSM593956
GSM593966,0,0,1,Fibroblast,Mock.F,GSM593966
GSM593972,0,1,0,Fibroblast,Killed.F,GSM593972
GSM593984,0,1,0,Fibroblast,Killed.F,GSM593984
GSM593985,0,1,0,Fibroblast,Killed.F,GSM593985
