,GSM593820,GSM593848,GSM593869,GSM593874,GSM593878,GSM593888,GSM593894,GSM593896,GSM593905,GSM593907,GSM593910,GSM593921,GSM593923,GSM593927,GSM593950,GSM593951,GSM593952,GSM593954,GSM593955,GSM593956,GSM593966,GSM593972,GSM593984,GSM593985
41427,0.885021332,0.138266092,-1.104353563,-0.177714335,1.292127199,0.167852274,0.177319852,1.4447919,0.902773041,-0.772988322,1.356033353,0.748924893,-0.567068493,-0.254638409,-0.911451655,1.139462499,-2.008507292,-0.163512967,1.137095604,-1.296072024,0.804546916,-1.033346725,-0.606122254,-1.298438918
16453,1.152700272,-0.047007171,-0.218393948,-0.312284096,1.178035709,-0.210942349,0.017076581,1.102029399,0.353888857,-0.902450738,1.507396386,1.234667862,-0.514967589,-0.771302596,-1.108114871,1.191448587,-1.596939767,-0.720631722,2.182511257,-0.766831636,-0.500064391,-0.348051771,-0.823463789,-1.078308475
23650,1.499648367,0.407886943,-1.156622848,-0.584623442,0.57852908,-0.877152818,-0.202419881,1.411715429,0.820562314,-0.992945696,1.496165874,1.109609198,-1.285475073,-0.257269139,-0.665591394,0.742206231,-0.47057181,0.03874273,2.17351068,-0.990333827,-0.634248961,-0.871929079,-0.689098219,-0.600294658
9069,1.176354769,0.632604867,-0.714497756,-0.606880588,0.331465598,-0.253820755,-0.278365022,1.260371681,0.754382189,-0.992036768,1.655911975,0.842175142,-0.445454835,0.625996795,-1.026965148,0.809134783,-1.139302367,-0.636144905,2.315775137,-0.864595385,-0.337837667,-0.896691733,-1.194998972,-1.016581035
12302,0.912423964,0.307481557,-1.03190163,-1.115150586,0.760725868,-0.757180079,0.425880071,1.007697768,0.87449944,-0.534257877,1.504416533,1.585815511,-0.463033771,-0.304860757,-1.190999633,1.281494331,-1.351022625,-0.672081147,1.802262794,0.011485272,-0.747930195,-0.352035164,-1.203024482,-0.75070516
36236,0.709742594,-0.382020973,-1.291246293,-0.554161472,1.293171802,-0.124387877,-0.905374302,1.208834511,0.953512026,-1.1202611,1.649005854,1.657092991,-0.909995524,-1.353632783,0.121692165,1.008966683,-0.704351169,-0.081641579,1.42834253,-0.728612582,-0.772514186,-1.055563999,0.363150986,-0.409748302
12391,1.558585638,0.197670391,-0.991219052,-0.123444442,0.774912532,-0.331786805,-0.377660352,0.706102211,1.231736611,-0.855509807,1.579611014,0.910621778,-0.383394546,-1.18618163,-0.582179919,0.713747802,-0.889914968,-0.521015189,2.455031215,-0.838307227,-0.886092172,-0.503812608,-0.842130022,-0.815370453
36254,0.766462033,0.013899854,-0.630965818,0.273947518,1.320705034,-0.391932106,-0.255341414,1.56893235,1.068537603,-1.42424253,1.563678862,1.245842828,-0.682187327,-0.578430936,-0.981636153,0.646945178,-1.608114616,-0.483868149,1.361419568,-0.575804192,-0.322323388,-1.718437867,-0.29736932,0.120282989
36029,0.769166218,0.650399498,-1.464861782,0.51082693,1.173146446,-0.551138262,-0.345680506,0.405930776,1.081253948,-1.496070555,1.549385542,1.262438213,-0.687243189,-0.396828218,-1.159709335,1.167078073,-1.024471319,-0.625692553,1.720166883,-1.165777708,0.100778329,-0.939514104,-0.468781778,-0.064801549
37829,0.881819537,0.578129824,-1.21947967,-0.390173146,0.873643276,0.210198056,0.082881984,0.65522029,1.169156727,-0.844539678,1.144627943,0.990447011,-0.362140249,0.668068701,-1.319930883,0.568785525,-1.864236292,-0.716055569,2.125779323,-0.577059123,0.219542355,-1.414541909,-0.863228276,-0.596915758
