,Mpox.F,Killed.F,Mock.F,,,,
GSM593806,0,0,1,,Macrophage,Mock.F,GSM593806
GSM593811,0,1,0,,Macrophage,Killed.F,GSM593811
GSM593812,0,1,0,,Macrophage,Killed.F,GSM593812
GSM593813,1,0,0,,Macrophage,Mpox.F,GSM593813
GSM593816,1,0,0,,Macrophage,Mpox.F,GSM593816
GSM593819,1,0,0,,Macrophage,Mpox.F,GSM593819
GSM593821,1,0,0,,Macrophage,Mpox.F,GSM593821
GSM593828,0,1,0,,Macrophage,Killed.F,GSM593828
GSM593829,0,0,1,,Macrophage,Mock.F,GSM593829
GSM593838,1,0,0,,Macrophage,Mpox.F,GSM593838
GSM593839,0,1,0,,Macrophage,Killed.F,GSM593839
GSM593842,0,1,0,,Macrophage,Killed.F,GSM593842
GSM593843,0,1,0,,Macrophage,Killed.F,GSM593843
GSM593845,0,0,1,,Macrophage,Mock.F,GSM593845
GSM593855,0,1,0,,Macrophage,Killed.F,GSM593855
GSM593859,0,1,0,,Macrophage,Killed.F,GSM593859
GSM593863,0,0,1,,Macrophage,Mock.F,GSM593863
GSM593865,1,0,0,,Macrophage,Mpox.F,GSM593865
GSM593867,0,0,1,,Macrophage,Mock.F,GSM593867
GSM593870,0,1,0,,Macrophage,Killed.F,GSM593870
GSM593872,1,0,0,,Macrophage,Mpox.F,GSM593872
GSM593875,0,0,1,,Macrophage,Mock.F,GSM593875
GSM593882,0,1,0,,Macrophage,Killed.F,GSM593882
GSM593885,0,0,1,,Macrophage,Mock.F,GSM593885
GSM593886,0,0,1,,Macrophage,Mock.F,GSM593886
GSM593887,0,1,0,,Macrophage,Killed.F,GSM593887
GSM593891,1,0,0,,Macrophage,Mpox.F,GSM593891
GSM593897,1,0,0,,Macrophage,Mpox.F,GSM593897
GSM593899,0,0,1,,Macrophage,Mock.F,GSM593899
GSM593902,0,1,0,,Macrophage,Killed.F,GSM593902
GSM593915,0,1,0,,Macrophage,Killed.F,GSM593915
GSM593916,0,0,1,,Macrophage,Mock.F,GSM593916
GSM593922,0,0,1,,Macrophage,Mock.F,GSM593922
GSM593933,0,1,0,,Macrophage,Killed.F,GSM593933
GSM593940,1,0,0,,Macrophage,Mpox.F,GSM593940
GSM593942,0,1,0,,Macrophage,Killed.F,GSM593942
GSM593946,0,0,1,,Macrophage,Mock.F,GSM593946
GSM593947,1,0,0,,Macrophage,Mpox.F,GSM593947
GSM593949,0,1,0,,Macrophage,Killed.F,GSM593949
GSM593957,1,0,0,,Macrophage,Mpox.F,GSM593957
GSM593958,1,0,0,,Macrophage,Mpox.F,GSM593958
GSM593965,0,0,1,,Macrophage,Mock.F,GSM593965
GSM593970,0,1,0,,Macrophage,Killed.F,GSM593970
GSM593977,0,0,1,,Macrophage,Mock.F,GSM593977
GSM593978,1,0,0,,Macrophage,Mpox.F,GSM593978
GSM593983,0,0,1,,Macrophage,Mock.F,GSM593983
GSM593988,0,1,0,,Macrophage,Killed.F,GSM593988
GSM593989,1,0,0,,Macrophage,Mpox.F,GSM593989
GSM593992,0,0,1,,Macrophage,Mock.F,GSM593992
GSM593993,0,1,0,,Macrophage,Killed.F,GSM593993
GSM593996,1,0,0,,Macrophage,Mpox.F,GSM593996
GSM593998,0,1,0,,Macrophage,Killed.F,GSM593998
