,GSM593806,GSM593811,GSM593812,GSM593813,GSM593816,GSM593819,GSM593821,GSM593828,GSM593829,GSM593838,GSM593839,GSM593842,GSM593843,GSM593845,GSM593855,GSM593859,GSM593863,GSM593865,GSM593867,GSM593870,GSM593872,GSM593875,GSM593882,GSM593885,GSM593886,GSM593887,GSM593891,GSM593897,GSM593899,GSM593902,GSM593915,GSM593916,GSM593922,GSM593933,GSM593940,GSM593942,GSM593946,GSM593947,GSM593949,GSM593957,GSM593958,GSM593965,GSM593970,GSM593977,GSM593978,GSM593983,GSM593988,GSM593989,GSM593992,GSM593993,GSM593996,GSM593998
33228,-0.140506687,-0.886341653,-0.899008482,0.908125815,1.878344612,0.975983829,1.729961756,-1.483492172,0.251260244,-0.983152419,-0.59470299,-0.604052317,-0.851357077,0.1161474,-0.908659399,-1.086296599,0.053114845,1.218161539,0.435834041,-0.728307879,1.229320412,-0.195697871,-1.042867471,0.275387538,-0.295524549,-0.766609958,1.751977912,0.966634502,-0.75424472,-0.711720365,-1.148725972,0.279911406,0.424071986,-0.886040062,-0.735244476,-0.919516682,0.539581404,0.931649926,-1.023565636,0.969952005,1.946805808,0.387579454,-2.037816744,-0.903230758,1.770676564,0.737123621,-0.742482664,1.248622247,0.34022964,-0.502717683,1.140954199,-0.675529424
42226,-0.435098109,-1.322552761,-0.517464994,1.084945312,1.907227512,1.055271047,1.86923336,-0.543533975,0.003359955,-1.00750636,-1.549963016,-0.493337321,-0.59899989,-0.194376035,-0.775936162,-0.767616274,-0.223218311,1.751368289,0.001973307,-0.578200172,1.280185335,0.096542693,-0.55296318,-0.443140667,-0.578200172,-0.57320824,1.808775512,1.212239588,-0.554072499,-1.395490441,-0.382405489,-0.106462559,0.025546321,-0.382960149,-0.538542042,-0.33581412,0.07186036,0.655916453,-0.713537006,1.005629052,2.00124224,-0.014111809,-0.549635225,-0.714923654,1.997082296,0.463172396,-1.85031095,1.341752501,-0.036298175,-0.846100545,1.183674642,-1.241017865
26036,-0.493044341,-0.698120358,-0.777678442,1.395430018,1.461041665,1.407157704,1.515242591,-1.080379518,-0.244227226,-1.046781284,-1.299718937,-0.584964039,-0.84550884,0.15609891,-0.661035514,-0.935209788,-0.334879066,1.441706832,0.220759663,-0.588767613,1.487032753,0.034701515,-0.772290046,0.055304206,-0.19287898,-0.85184813,1.47974257,1.040429803,-0.809057925,-1.06136165,-0.482584513,0.084464938,0.496518759,-0.518718464,-0.880374933,-0.504138098,0.324724012,0.816335917,-0.568164922,1.434416649,1.519046165,0.036603302,-1.357723437,-0.814763286,1.596385497,0.994786918,-0.744714136,1.496858651,0.183040891,-0.876571359,1.488617575,-2.140942661
26031,-0.267486851,-0.879663427,-0.845078718,1.16818704,1.756671728,1.357177495,1.670618437,-0.812127933,0.285051526,-1.301215624,-0.691489933,-0.934127535,-1.266630915,0.261631959,-0.973886334,-1.349144039,-0.224187885,1.373789048,0.242297201,-0.849435847,1.27439205,-0.035742071,-1.039787905,0.086529852,-0.552334137,-0.814578817,1.508043074,1.151847807,-0.917515982,-0.764199517,-0.799873508,0.261359639,0.538037308,-0.587463486,-0.94665428,-0.941480189,0.248288253,1.083767672,-0.588552769,1.278476859,1.784993064,0.283962244,-0.575209062,-1.119305502,1.696761209,0.731929533,-0.821386831,1.43533349,-0.400651596,-0.823565395,1.397753255,-0.754123657
42189,-0.234427465,-0.775352983,-0.921331227,0.866827631,1.717621077,1.253117708,1.70597864,-0.305177657,0.150668516,-1.098355969,-0.736843385,-0.930286947,-0.998947471,0.135443791,-1.01447072,-1.31180064,-0.208157352,1.716426981,0.303512812,-0.873567384,1.255804424,0.11753235,-0.929092851,-0.039491283,-0.843117935,-0.520114949,1.58477789,1.159082643,-0.8613279,-0.89625521,-0.585193185,0.285302847,0.353664847,-0.720723088,-0.916554843,-0.668481385,0.20380579,0.857274862,-0.616538206,1.12027452,1.793147653,0.356351563,-0.782517559,-0.872373288,1.76239968,0.551586269,-2.03572138,1.470741716,0.072455223,-0.748187298,1.363870118,-0.713259988
12498,-0.577441272,-1.104006302,-0.728191745,1.155481409,1.476091568,1.533419213,1.389038479,-0.991474259,0.197189675,-1.467081383,-0.608936089,-0.535330225,-0.666263734,-0.052999489,-0.567178916,-1.268911748,-0.183932998,1.869953717,0.196835801,-0.758624939,1.30941675,-0.272755459,-0.67900321,-0.078478442,-0.089802421,-0.805336352,1.825011675,1.274029316,-0.892035568,-1.31385379,-0.435537659,-0.012657813,0.146231769,-1.019784207,-0.97201117,-0.360870172,0.009636271,1.111247116,-0.762871431,1.266951829,1.621533925,0.208867529,-0.917514521,-0.866910489,1.607732826,0.62325439,-0.851340018,1.258458844,0.086427004,-0.911144782,1.719910994,-1.134439496
39486,-0.556889732,-0.372075777,-1.439957735,1.059926391,1.917597775,0.900203072,1.996847467,-0.446429736,-0.045591522,-1.031775921,-1.185991539,-0.610130838,-0.840536315,-0.275996999,-0.68111898,-0.786989226,-0.299863702,1.851199384,-0.223061876,-0.861343184,1.398649981,0.009485484,-0.65572236,-0.477028073,-0.76740629,-0.967825397,1.9888919,1.156005169,-0.746293437,-0.441228018,-0.659700144,-0.407569848,-0.080779609,-0.429294667,-0.997505784,-0.579532501,-0.044367589,0.700395932,-0.408487798,0.994751933,2.054066357,-0.256414063,-0.390740762,-0.914890274,2.062633892,0.298945752,-1.093584561,1.539096347,0.026926536,-0.73741992,1.298287435,-0.54036663
29586,0.113244048,-1.437055306,-1.334330768,1.119587661,1.396153724,1.254174648,1.522074126,-0.789355428,0.457103606,-1.247410005,-1.106450527,-0.640494063,-1.05445101,0.376300433,-1.039157034,-1.059803901,0.167282763,1.360212881,0.534847983,-0.801335709,1.203449628,0.104067663,-0.975941933,0.426770554,-0.442437075,-0.782728038,1.424957379,1.255704046,-1.134234584,-1.006274986,-0.795473018,0.558808545,0.74615975,-0.772022255,-1.164312736,-0.689179886,0.615906055,0.859335171,-0.777884946,0.911334689,1.568465852,0.487691558,-0.75010089,-0.928785508,1.572289346,0.914138585,-0.840080448,1.279664608,0.185380634,-1.124803299,1.33548762,-1.056490206
19685,-0.645375867,-0.972851335,-0.119654498,1.597302901,1.606810254,1.316307823,1.609627247,-0.890102158,0.047252353,-1.217225501,-0.12071087,-0.848903631,-1.145392173,0.070844672,-0.89538402,-1.233775337,-0.480581761,1.366309453,-0.102400414,-1.061234499,1.554343754,-0.040778686,-1.155603774,-0.13761283,-0.242545829,-0.735871776,1.757519394,1.438494906,-1.03341669,-0.620022928,-0.456989442,-0.556288455,-0.142894692,-0.444665097,-1.045036788,-0.879538433,-0.12493636,1.242713873,-0.482342382,1.401521869,1.703644397,-0.373888141,-0.411565426,-1.279199353,1.682869072,-0.162613645,-0.056272149,1.590260418,-0.067540122,-0.925314574,1.338491645,-0.215784393
39488,0.060209961,-0.940496504,-1.42494868,0.98088111,1.498460486,0.938213276,1.540598285,-0.783606084,0.416658635,-1.335107713,-1.306485812,-0.859401118,-0.998270341,0.491393599,-0.801892298,-1.070355129,0.093072143,1.412594783,0.805704475,-1.026892242,1.21621674,0.160386614,-0.808517738,0.486623282,-0.639966544,-1.073270323,1.627789076,1.093248573,-0.76081457,-0.884842808,-0.919030078,0.49351374,0.78741826,-0.759224465,-1.053394003,-0.886962949,0.439450149,0.642983667,-0.640761596,0.919927061,1.682382702,0.527966028,-0.694030134,-1.03934807,1.688743124,0.926022466,-1.064259724,1.315598341,0.157206403,-0.971503564,1.263654891,-0.923535378
