Gene_ID,Clade IIb,Clade I,Clade IIa,Zaire,,,,,,,,,,
WDR54,-1.716777413,NA,NA,NA,,,,,,,,,,
TSPAN9,-1.097777887,NA,NA,NA,,,,,,,,,,
POLA2,-2.339056029,NA,NA,NA,,,,,,,,,,
CLCA4,-3.643051457,NA,NA,NA,,,,CTBP2,,,,,,
CYP24A1,-2.11789452,NA,NA,NA,,,,TXNRD1,,,,,,
RNASET2,-2.750830531,NA,NA,NA,,,,HSPG2,,,,,,
KITLG,-1.676600062,NA,NA,NA,,,,CCNA2,,CCNA2,-2.514501424,NA,NA,NA
FNIP2,-1.063407667,NA,NA,NA,,,,CCNB1,,CCNB1,-2.684593035,-0.869119126,-0.736312751,NA
MPC1,-1.363504311,NA,NA,NA,,,,CCNB2,,CCNB2,-1.603112433,NA,NA,NA
RPL18,-1.850670338,-0.648606097,-0.735479554,NA,,,,BUB1B,,BUB1B,-2.431458242,NA,NA,-0.34975
ATP2C2,-2.355999272,NA,NA,NA,,,,BUB1,,BUB1,-2.28040653,NA,NA,-0.582875
NTHL1,-2.231204467,NA,NA,NA,,,,AURKA,,AURKA,-2.157863191,NA,NA,NA
OAT,-1.22191538,-0.664733259,NA,NA,,,,KIF11,,KIF11,-2.72901755,NA,NA,NA
WDR18,-1.002897795,NA,-0.88261974,NA,,,,CDC20,,CDC20,-1.821017204,NA,-0.97984735,NA
MCM10,-2.71408145,NA,NA,NA,,,,RRM2,,RRM2,-2.568059954,NA,NA,NA
COL17A1,-1.96877789,-0.488357478,NA,NA,,,,UBE2C,,UBE2C,-1.563087107,NA,0.99293917,NA
YBX1,-1.211529865,-0.624280485,-0.568648554,NA,,,,,,,,,,
ASPM,-2.052538855,NA,NA,NA,,,,,,,,,,
PABPC1,-1.395569488,-0.257247544,-0.808711689,NA,,,,,,,,,,
TESK2,-1.716306795,NA,NA,-0.7395,,,,,,,,,,
TRIP13,-1.921303468,NA,NA,NA,,,,,,,,,,
ATP6AP1,-1.045449619,-0.706528431,-0.80560565,NA,,,,,,,,,,
SMC1A,-1.119516728,NA,NA,NA,,,,,,,,,,
HMMR,-2.168856182,NA,NA,-0.61625,,,,,,,,,,
XRCC1,-1.282590157,NA,NA,NA,,,,,,,,,,
SCARB1,-1.170384899,NA,NA,NA,,,,,,,,,,
DHRS9,-1.18783787,0.730414117,0.813428848,NA,,,,,,,,,,
LMAN1,-1.068518332,NA,NA,NA,,,,,,,,,,
SEMA3C,-1.670859906,-0.752947557,-0.933941953,NA,,,,,,,,,,
WDR62,-1.504383964,NA,NA,NA,,,,,,,,,,
REXO2,-1.240819995,-0.774074479,-0.819709018,2.375625,,,,,,,,,,
FBLN1,-2.999521972,NA,NA,NA,,,,,,,,,,
EDN1,-2.600547604,NA,NA,-0.507625,,,,,,,,,,
NDC80,-2.0257484,NA,NA,NA,,,,,,,,,,
HAL,-2.762783764,NA,NA,NA,,,,,,,,,,
PIGS,-1.356733142,NA,NA,NA,,,,,,,,,,
PSMC5,-1.209862249,NA,-0.728107409,NA,,,,,,,,,,
TFAP2C,-1.18423657,-0.920862248,NA,NA,,,,,,,,,,
AURKA,-2.157863191,NA,NA,NA,,,,,,,,,,
TPX2,-1.131678158,-0.831521615,NA,NA,,,,,,,,,,
SLC15A1,-2.162547782,NA,NA,NA,,,,,,,,,,
BIRC5,-4.82778078,NA,NA,NA,,,,,,,,,,
KIF4A,-2.267898968,NA,NA,NA,,,,,,,,,,
NAT14,-1.802976909,NA,NA,NA,,,,,,,,,,
TMEM101,-1.140017316,NA,NA,NA,,,,,,,,,,
CCDC80,-1.896737409,NA,NA,NA,,,,,,,,,,
PSME1,-1.975073203,-0.762623799,-0.842716556,NA,,,,,,,,,,
MYL6,-1.062868944,-0.647299864,-0.539585217,NA,,,,,,,,,,
CDC23,-1.342356163,NA,NA,-0.561875,,,,,,,,,,
TECR,-1.324569629,NA,1.087898567,-0.495375,,,,,,,,,,
POLR2F,-1.359421471,NA,NA,NA,,,,,,,,,,
TIMP3,-1.66846169,NA,NA,NA,,,,,,,,,,
AP1B1,-1.077603375,NA,NA,NA,,,,,,,,,,
MCM5,-1.96770465,NA,NA,-0.409,,,,,,,,,,
SYNGR1,-1.813031093,NA,NA,NA,,,,,,,,,,
ACO2,-1.186643572,NA,NA,NA,,,,,,,,,,
CDKN3,-2.049376083,NA,NA,NA,,,,,,,,,,
DAAM1,-1.467516745,NA,NA,NA,,,,,,,,,,
HIF1A,-1.025051181,-0.789154909,-0.731376026,-0.379625,,,,,,,,,,
PSME2,-1.422399127,0.688568417,0.712589603,NA,,,,,,,,,,
MYBL2,-2.627598643,NA,NA,-0.40275,,,,,,,,,,
TM9SF4,-1.355452534,NA,NA,NA,,,,,,,,,,
IDH3B,-1.237215398,NA,NA,-0.369,,,,,,,,,,
GDPD3,-1.019454547,NA,NA,NA,,,,,,,,,,
MT4,-3.622877963,NA,NA,NA,,,,,,,,,,
COTL1,-1.895838907,-0.913167563,-0.84495222,NA,,,,,,,,,,
QPRT,-4.054029095,NA,NA,NA,,,,,,,,,,
VPS35L,-1.154688929,NA,NA,NA,,,,,,,,,,
CTSH,-2.030209213,NA,NA,-0.597,,,,,,,,,,
CEMIP,-2.552323128,NA,NA,NA,,,,,,,,,,
TGM5,-3.147235824,NA,NA,NA,,,,,,,,,,
NUCB1,-2.171160267,-0.708701696,-0.786796571,-0.3995,,,,,,,,,,
OLFM2,-1.116971634,NA,NA,NA,,,,,,,,,,
CNFN,-1.717754922,0.382476879,-0.44006594,NA,,,,,,,,,,
TMEM205,-1.223765294,0.981766352,1.552113094,NA,,,,,,,,,,
WDR83OS,-1.47707152,-0.935363104,-0.513934122,NA,,,,,,,,,,
DLX5,-1.977683911,NA,NA,NA,,,,,,,,,,
GSDME,-1.223861174,NA,NA,3.74575,,,,,,,,,,
CHCHD2,-1.591962218,-0.523053004,-0.882623767,NA,,,,,,,,,,
PSMA2,-1.33808643,-0.755947546,-0.756325268,NA,,,,,,,,,,
MAP3K8,-1.169600565,NA,NA,NA,,,,,,,,,,
DKK1,-2.26967081,NA,NA,-0.5885,,,,,,,,,,
KRT23,-2.325895748,-0.42932489,-0.500621271,NA,,,,,,,,,,
RUNDC3A,-1.760027929,NA,NA,NA,,,,,,,,,,
MTMR4,-1.106603349,NA,NA,NA,,,,,,,,,,
DHX40,-1.036874216,NA,NA,NA,,,,,,,,,,
BLMH,-1.846850819,NA,NA,-0.664625,,,,,,,,,,
HDAC5,-1.39987283,NA,NA,NA,,,,,,,,,,
INPP4B,-2.59563884,NA,NA,NA,,,,,,,,,,
GAB1,-1.4096689,NA,NA,1.086,,,,,,,,,,
NCAPG,-3.081687148,NA,NA,NA,,,,,,,,,,
CRYAB,-1.075511568,0.391704804,2.221630317,-0.48125,,,,,,,,,,
COMMD9,-1.905964913,NA,NA,NA,,,,,,,,,,
CD81,-1.046762265,NA,NA,NA,,,,,,,,,,
FOXM1,-2.905928005,NA,NA,NA,,,,,,,,,,
COPZ1,-1.261227883,-0.64012376,-0.764822696,NA,,,,,,,,,,
C12orf57,-1.225694921,NA,0.828724143,NA,,,,,,,,,,
COX6A1,-1.399900045,-0.747391881,-0.951151592,-0.45025,,,,,,,,,,
PPARD,-1.395993315,NA,-0.597876661,NA,,,,,,,,,,
GMNN,-2.486087765,NA,NA,NA,,,,,,,,,,
COX7A2,-1.337102314,-0.417037989,-0.613332318,NA,,,,,,,,,,
KIF20A,-2.786504036,NA,NA,-0.79325,,,,,,,,,,
RBP1,-5.622330943,NA,NA,NA,,,,,,,,,,
BCHE,-1.165708466,NA,NA,NA,,,,,,,,,,
C3orf14,-1.72491609,NA,NA,NA,,,,,,,,,,
IL1A,-1.70651281,NA,NA,NA,,,,,,,,,,
NCL,-1.298388981,-0.480843345,-0.448131853,NA,,,,,,,,,,
PPP1R7,-1.32746383,-0.816901591,NA,NA,,,,,,,,,,
RND3,-1.299478788,-0.631062525,-0.490510096,-0.5915,,,,,,,,,,
ATP5PB,-1.697656649,-0.847357707,-0.96673609,-0.589,,,,,,,,,,
NCF2,-2.555593866,NA,NA,NA,,,,,,,,,,
RGS2,-2.817782122,-0.640406617,NA,NA,,,,,,,,,,
MYCL,-2.084860976,NA,NA,NA,,,,,,,,,,
SIPA1L2,-1.718076971,NA,NA,NA,,,,,,,,,,
CDC20,-1.821017204,NA,-0.97984735,NA,,,,,,,,,,
