DOWN_IIa_407,baseMean,log2FoldChange,lfcSE,pvalue,padj
RPL18,345.2124507,-0.735479554,0.118680232,4.22E-10,3.42E-09
WDR18,32.61437571,-0.88261974,0.353195409,0.007560079,0.019051505
YBX1,380.0638002,-0.568648554,0.108912131,1.45E-07,8.90E-07
PABPC1,454.6111917,-0.808711689,0.102902973,2.66E-15,3.22E-14
ATP6AP1,51.3506581,-0.80560565,0.289967202,0.003635757,0.010070175
DHRS9,63.39949193,0.813428848,0.273552589,0.0019755,0.005876178
SEMA3C,38.36444647,-0.933941953,0.319538975,0.002023278,0.006002266
REXO2,75.96793456,-0.819709018,0.241230856,0.000450315,0.001558824
PSMC5,73.06301628,-0.728107409,0.236081195,0.001494552,0.0045811
PSME1,59.00547611,-0.842716556,0.266609561,0.001022676,0.003258879
MYL6,581.3901901,-0.539585217,0.09141622,3.02E-09,2.26E-08
TECR,93.53643855,1.087898567,0.216897226,2.79E-07,1.65E-06
HIF1A,231.1667606,-0.731376026,0.135401598,4.81E-08,3.14E-07
PSME2,71.14730796,0.712589603,0.248233002,0.003013777,0.008521673
COTL1,28.73116477,-0.84495222,0.369516357,0.013836054,0.032241077
NUCB1,54.44102218,-0.786796571,0.291441559,0.004687101,0.012553235
CNFN,559.6957332,-0.44006594,0.145421635,0.002308189,0.006747946
TMEM205,103.7587053,1.552113094,0.223163707,1.17E-12,1.19E-11
WDR83OS,230.7609723,-0.513934122,0.180477659,0.003769785,0.010391489
CHCHD2,335.5504338,-0.882623767,0.138852522,1.35E-10,1.15E-09
PSMA2,53.96930167,-0.756325268,0.282297929,0.005143246,0.013602595
KRT23,196.1861019,-0.500621271,0.18296726,0.00537151,0.014134011
CRYAB,813.7484264,2.221630317,0.087397429,2.35E-143,4.10E-141
COPZ1,93.80249182,-0.764822696,0.219784747,0.000353237,0.001256108
C12orf57,55.10282053,0.828724143,0.28402412,0.002333969,0.006814821
COX6A1,158.870291,-0.951151592,0.18895238,2.87E-07,1.69E-06
PPARD,79.70508478,-0.597876661,0.225083725,0.006574385,0.016878917
COX7A2,159.3917747,-0.613332318,0.171789854,0.000282433,0.001024457
NCL,262.3005754,-0.448131853,0.125687166,0.000318855,0.001143675
RND3,122.4609693,-0.490510096,0.186211442,0.007236534,0.018360788
ATP5PB,105.2524875,-0.96673609,0.220637491,6.79E-06,3.30E-05
CDC20,25.79669034,-0.97984735,0.443641508,0.014368063,0.033307198
SGK1,42.69631102,0.731181521,0.301125338,0.010898557,0.0262319
MT2A,725.56128,-0.81736184,0.114161729,5.55E-13,5.78E-12
MGME1,34.6933487,-0.812199169,0.357889095,0.015047835,0.034619092
CD68,72.05749552,-0.685628674,0.264527386,0.007085542,0.018053608
RPS4Y1,315.4351051,-0.888278302,0.148601315,1.45E-09,1.12E-08
ACSS2,31.67553872,-0.882918562,0.368238671,0.009928043,0.024132628
COX4I1,117.9959135,-0.483317457,0.188718756,0.008969619,0.022084694
COX7B,120.5187653,-0.948614799,0.210755708,4.01E-06,2.01E-05
CCNB1,34.18514603,-0.736312751,0.336395671,0.0197142,0.043681961
EHF,133.7802381,0.97123144,0.189243876,1.72E-07,1.04E-06
MRPS9,46.40245266,-0.683472064,0.312428032,0.021047312,0.046189295
TUBB2A,174.1568125,-0.58934906,0.177369218,0.000721758,0.002392642
HADHB,85.5704494,-0.742329819,0.216723379,0.000442728,0.001537338
B4GALNT3,40.26939907,-0.85301229,0.320944749,0.005014485,0.013311421
PSMB6,217.1949522,-0.722838154,0.144288056,4.02E-07,2.33E-06
