ID,MetaColumn,MetaRow,Column,Row,CLONE_ID,SPOT_ID,Reporter.Species,Reporter.BioSequence.Database.Entry..preferredName.,Repoter.Biosequence.Type,Repoter.BioSequence.PolymerType,CompositeSequence.Identifier,GeneId,CompositeSequence.Biosequence.Type,Plate.Identifier,Plate.Row,Plate.Column,LUID,Failed,Contaminated,Mpox.F.Mock.F,Mpox.F.Killed.F,Killed.F.Mock.F,AveExpr,F,P.Value,adj.P.Val,log2FC
41427,3,12,27,1,IMAGE:2027733,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.604773,gene,DNA,F,12,22398,0,U,U,0.9275,1.894625,-0.967125,-0.721833333,71.75204052,9.19E-11,3.05E-06,0.9275
16453,3,5,13,9,IMAGE:1338883,,Homo sapiens,cDNA_clone,DNA,Experimental,**GATA zinc finger domain containing 2A,gene,DNA,J,5,13875,0,U,U,1.08725,1.4045,-0.31725,0.124541667,51.8704347,2.28E-09,3.78E-05,1.08725
23650,3,7,10,9,IMAGE:1338547,,Homo sapiens,cDNA_clone,DNA,Experimental,57157,gene,DNA,B,19,13834,0,U,U,1.899,2.335875,-0.436875,0.1555,48.81875565,4.07E-09,4.50E-05,1.899
9069,3,3,9,3,IMAGE:700401,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,J,3,626,0,U,U,1.383125,2.249875,-0.86675,0.509875,44.18102384,1.04E-08,4.71E-05,1.383125
12302,2,4,2,21,IMAGE:1309040,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.449880,gene,DNA,C,16,12692,0,U,U,1.764375,2.18,-0.415625,1.087583333,44.0411611,1.07E-08,4.71E-05,1.764375
36236,1,11,26,8,IMAGE:239611,,Homo sapiens,cDNA_clone,DNA,Experimental,"Hemoglobin, epsilon 1",gene,DNA,H,23,517136,0,U,U,1.622125,1.594125,0.028,-6.414333333,43.58301206,1.18E-08,4.71E-05,1.622125
12391,2,4,1,24,IMAGE:1307765,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.531564,gene,DNA,G,4,13094,0,U,U,0.885625,1.062625,-0.177,-0.431416667,43.3965496,1.23E-08,4.71E-05,0.885625
36254,1,11,14,9,IMAGE:1339156,,Homo sapiens,cDNA_clone,DNA,Experimental,5725,gene,DNA,L,23,13896,0,U,U,1.139125,1.5855,-0.446375,0.971416667,42.95399797,1.35E-08,4.71E-05,1.139125
36029,1,11,29,1,,EMPTY,Not Applicable,unknown_sequence,unknown_polymer,Control,,,,L,11,26274,0,U,U,1.510125,2.438625,-0.9285,0.04775,42.93773677,1.36E-08,4.71E-05,1.510125
37829,3,11,29,1,,EMPTY,Not Applicable,unknown_sequence,unknown_polymer,Control,,,,J,11,26262,0,U,U,0.868875,1.831,-0.962125,-0.548958333,42.40223271,1.52E-08,4.71E-05,0.868875
7265,1,3,5,3,IMAGE:687026,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.633256,gene,DNA,D,3,590,0,U,U,1.135125,1.6955,-0.560375,0.415208333,42.29476091,1.56E-08,4.71E-05,1.135125
36070,1,11,10,3,IMAGE:700538,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.269764,gene,DNA,L,23,648,0,U,U,1.22275,1.708125,-0.485375,0.409541667,41.62747271,1.81E-08,4.85E-05,1.22275
11942,2,4,2,9,IMAGE:287749,,Homo sapiens,cDNA_clone,DNA,Experimental,CDC7,gene,DNA,C,16,508852,0,U,U,2.023125,2.771,-0.747875,0.149083333,41.40524315,1.90E-08,4.85E-05,2.023125
11728,2,4,28,1,,LC:17996,Homo sapiens,cDNA_clone,DNA,Experimental,"Fc fragment of IgE, low affinity II, receptor for (CD23)",gene,DNA,G,16,17996,0,U,U,1.34,2.459,-1.119,-0.496333333,40.55898393,2.29E-08,5.44E-05,1.34
12301,2,4,1,21,IMAGE:1309006,,Homo sapiens,cDNA_clone,DNA,Experimental,RAB11FIP4,gene,DNA,C,4,12686,0,U,U,2.252375,2.806625,-0.55425,0.116291667,39.53364403,2.90E-08,6.41E-05,2.252375
12628,3,4,28,1,IMAGE:2027749,,Homo sapiens,cDNA_clone,DNA,Experimental,23158,gene,DNA,F,16,22400,0,U,U,1.09825,1.951125,-0.852875,-0.542958333,39.02246225,3.26E-08,6.77E-05,1.09825
