UP_IIa_396,baseMean,log2FoldChange,lfcSE,pvalue,padj
HCCS,110.9153676,0.782184175,0.20967153,0.000133708,0.000520378
KDM7A,45.51260326,0.870031305,0.316686606,0.003825815,0.010527899
DSG2,141.9450041,0.948207315,0.193943955,6.63E-07,3.72E-06
TSPAN17,68.75002178,0.594819171,0.267928629,0.021192336,0.046480615
CBFB,40.41934458,0.871656549,0.332644588,0.005583243,0.014619414
ATP2B1,51.46635492,0.865506824,0.296271475,0.00222767,0.00654426
ITCH,63.73762868,0.733284644,0.275462016,0.005606085,0.014668614
DOCK9,45.22177448,0.811454231,0.317345025,0.00703096,0.017930598
RCOR1,118.5113351,0.914438913,0.203434912,4.40E-06,2.20E-05
XBP1,277.3214083,0.67019746,0.136832469,7.65E-07,4.26E-06
CTSZ,67.3604972,0.701747842,0.283587678,0.00976273,0.023782692
TRIB3,112.8433965,-0.545945706,0.234874056,0.016689587,0.037837047
SMARCA1,34.1362355,0.944862661,0.387375545,0.008486805,0.021060658
SLC7A5,239.9374046,0.878097743,0.150753667,4.04E-09,2.99E-08
CD276,32.13733231,0.826888319,0.378538369,0.018553001,0.041451543
KCTD9,131.3023396,0.719612663,0.197695866,0.000203234,0.00075807
KXD1,85.32411951,0.942424104,0.243491924,6.68E-05,0.000276121
GARS,336.7853245,0.874625218,0.122254733,5.33E-13,5.57E-12
DVL1,138.1053503,0.452836937,0.192009689,0.016351523,0.037181227
SLC38A1,191.8402636,0.558273593,0.16137217,0.000452187,0.001564184
VEGFA,64.41051282,0.788253067,0.278555291,0.003209424,0.009015025
DBN1,73.97603932,0.719721013,0.27106894,0.005791903,0.015089376
LRRC42,123.923964,0.538410191,0.191719691,0.00427147,0.011582564
SLC2A1,724.5972988,-0.727083117,0.098042401,9.01E-14,9.88E-13
TMED5,51.11402066,0.965019505,0.31037461,0.001091527,0.003456981
PPP3CC,46.57988083,0.858923855,0.328512062,0.005705965,0.014892282
ZMIZ2,36.6592866,0.864469991,0.3569384,0.009607455,0.023424137
SDC4,440.8027953,0.813468433,0.106890415,1.87E-14,2.13E-13
LRRFIP1,93.94349258,0.771743961,0.23915286,0.000883656,0.002865696
TRAF2,24.27224241,0.933730585,0.456310009,0.022324837,0.048603764
SPART,47.32383351,0.782125659,0.31372108,0.008661416,0.021427868
SPIRE1,46.60449963,0.679995283,0.311925728,0.021876876,0.04777936
TES,139.0353959,0.832420373,0.186717491,5.59E-06,2.75E-05
HUS1,48.83151699,0.919152244,0.319071617,0.002397094,0.006981077
ANKRD52,96.71287804,0.886670839,0.226812463,5.92E-05,0.000247274
CERS2,88.42182137,0.600327172,0.244369899,0.011214058,0.026852912
RALB,197.7597584,0.533574517,0.160428563,0.000743712,0.002460349
TM4SF19,45.77177002,-0.817887337,0.351751213,0.013194874,0.030991366
ADM,135.4112431,0.880116174,0.194355729,3.89E-06,1.96E-05
TMCO3,27.64610599,0.934451185,0.411723439,0.0132387,0.031079179
KCTD15,40.69422044,0.760742846,0.338520814,0.017028419,0.038550892
CTBP1,39.02648757,0.844452057,0.34074323,0.00845393,0.020986269
SDC3,30.42663147,0.905365615,0.384341221,0.011000248,0.026428339
TFB2M,43.4256394,0.857687486,0.338380486,0.007126204,0.018131687
ATXN7,36.87882393,0.933439821,0.351962252,0.004696018,0.012569009
CASP3,75.85240097,0.832032958,0.243404325,0.000419119,0.001463781
MED30,40.00495974,0.802552972,0.366181006,0.018666785,0.041666143
FAM219A,52.24217749,0.670385576,0.292756384,0.01659898,0.037662219
KIFC2,132.7409597,0.780823373,0.201858735,7.77E-05,0.000315695
FTH1,987.4665147,-0.373949848,0.092177426,4.43E-05,0.000189555
DDIT4,1053.049988,0.372577149,0.104075333,0.000317761,0.001140598
KLF13,69.85599066,0.693634299,0.251858921,0.004411545,0.011915532
KRT8,52.29216016,0.979457176,0.346426825,0.002574253,0.007428335
ZNF160,28.40315395,0.869740669,0.401400553,0.018479312,0.041312405
CDC42BPG,41.91902597,0.720671202,0.334327254,0.022434573,0.048813315
DENND6A,30.63918952,0.939038458,0.41177176,0.012789899,0.030192001
ZNF664,88.18147116,0.924577012,0.231331037,3.95E-05,0.000170068
CMTM4,43.41031641,0.808278548,0.365705974,0.017834944,0.040082257
PTP4A2,77.72446878,0.564271061,0.249482173,0.019565798,0.043406275
NRBP2,58.39204446,0.661210777,0.299418251,0.020537151,0.045228585
SHTN1,31.4353443,0.984717967,0.381290874,0.005425525,0.014260592
HRH1,31.55402032,0.99167503,0.388782617,0.005943354,0.015447812
TXNRD1,240.6558654,0.713480903,0.192078697,0.000151274,0.000581792
ARFGAP3,63.61172617,0.633173197,0.286729373,0.021261178,0.046596315
MIR210HG,22.52429524,-2.427317248,0.731087582,0.000176279,0.000667327
