,RowNames,Y_Data
1,HCCS,0.777688869
2,SPATA20,NA
3,KDM7A,NA
4,PRSS21,NA
5,PKD1,NA
6,SCMH1,NA
7,MRC2,NA
8,SEMA3B,NA
9,AIFM2,NA
10,DSG2,0.473460306
11,TSPAN17,0.644268499
12,ATP9A,NA
13,EIF2AK2,NA
14,SLC2A3,NA
15,SPHK2,NA
16,ZNF275,NA
17,MTHFD2,NA
18,CACNB1,NA
19,CBFB,NA
20,RASSF1,NA
21,MNT,NA
22,ATP2B1,NA
23,SPEG,NA
24,PDE8A,NA
25,CELSR1,NA
26,VPS9D1,NA
27,ZNF37A,NA
28,ITCH,0.78670035
29,TNS1,NA
30,MID2,NA
31,TRAF5,NA
32,ULK2,NA
33,ZNF416,NA
34,BCORL1,NA
35,DDHD2,NA
36,SNX10,NA
37,KLHL42,NA
38,DOCK9,0.882332965
39,RCOR1,0.750270124
40,PDCD7,NA
41,RAB11FIP3,NA
42,TNRC6A,NA
43,UPRT,NA
44,SMIM24,NA
45,LZTR1,NA
46,XBP1,0.613879993
47,SUN2,NA
48,BIK,NA
49,ZC3H7B,NA
50,CGRRF1,NA
51,PCK2,NA
52,NINL,NA
53,CTSZ,NA
54,TRIB3,NA
55,CDS2,NA
56,ABCD1,NA
57,RENBP,NA
58,SMARCA1,0.891942896
59,KLF8,NA
60,PARP4,NA
61,KATNAL1,NA
62,SLC7A5,0.528909175
63,CD276,NA
64,GSR,NA
65,KCTD9,0.673697139
66,SNAPC2,NA
67,IL27RA,NA
68,DENND3,NA
69,KXD1,0.895230055
70,PLEKHA8,0.930962087
71,GARS,0.526597752
72,SERPINE1,0.875025987
73,CREB3,NA
74,DVL1,NA
75,RAB11FIP2,NA
76,TRIM16L,NA
77,ABCC3,NA
78,SNX25,NA
79,CEP164,NA
80,PITPNM1,NA
81,CAPRIN2,NA
82,SH2B3,NA
83,SLC38A1,NA
84,MAN1A1,NA
85,UST,NA
86,FBXO9,0.864678232
87,ARFGEF3,NA
88,VEGFA,0.619532528
89,DBN1,NA
90,CCDC88A,NA
91,KDM3A,NA
92,SLC1A4,NA
93,LRRC42,NA
94,SLC2A1,-0.559482296
95,FAAH,NA
96,TMED5,0.985929947
97,USP35,NA
98,STBD1,-1.684880019
99,KLF12,NA
100,DCAF4,NA
101,MTHFD1L,NA
102,CYSTM1,NA
103,PPP3CC,NA
104,PDLIM2,NA
105,CLCC1,NA
106,SHLD2,NA
107,ZMIZ2,0.919443373
108,CHST3,NA
109,P4HA1,NA
110,ACADS,NA
111,PKN1,NA
112,LRP1,NA
113,SDC4,0.44944814
114,LRRFIP1,0.779915246
115,RAB17,NA
116,SRMS,NA
117,SH2D3A,NA
118,VASP,NA
119,OVOL2,NA
120,WDR60,NA
121,TRAF2,NA
122,KDM4B,NA
123,DGCR8,NA
124,IRF5,NA
125,ADCY4,NA
126,ABHD17A,NA
127,HELZ2,NA
128,ZNF337,NA
129,LAMA5,NA
130,ARHGEF16,NA
131,C12orf65,NA
132,ANO1,NA
133,WDR44,NA
134,SELENOS,NA
135,RHPN2,NA
136,C19orf12,NA
137,TRIM47,NA
138,SPART,NA
139,KRAS,NA
140,IMPA1,NA
141,TTC9,NA
142,CAMK1,NA
143,BHLHE40,-0.619999275
144,SPIRE1,NA
145,CDC73,NA
146,ECHDC3,NA
147,AGO4,NA
148,TES,NA
149,ANKRD36,NA
150,ALDH1L2,NA
151,SPRY2,NA
152,HUS1,0.951873174
153,LIMD2,NA
154,FPGS,NA
155,KIF12,NA
156,FRS3,NA
157,ADCY3,NA
158,APH1B,NA
159,LARP1B,NA
160,CDKL2,NA
161,CERS5,NA
162,ANKRD52,0.907749763
163,JDP2,NA
164,UBE2Q2,NA
165,NEIL1,NA
166,TLNRD1,NA
167,SMAD4,0.966727181
168,WTIP,NA
169,HSPG2,NA
170,MOB3C,NA
171,CERS2,NA
172,ATP8B2,NA
173,PYCR2,NA
174,PPFIA4,NA
175,ZNF514,NA
176,RALB,NA
177,LYG1,NA
