UP_Zaire_396,adj.P.Val,log2FC
HCCS,0.005173829,-0.56875
PRSS21,0.00884856,-0.554625
ZNF275.1,0.029392473,0.29325
ATP2B1,0.001267117,-0.667875
PDE8A,0.040949178,-0.397875
TNRC6A,0.02951357,-0.3675
XBP1,0.003593153,-0.72175
BIK,0.045979029,-0.389125
CTSZ,0.012946364,-0.702125
SLC7A5,0.013708247,-0.53325
SNAPC2,0.038089581,-0.735875
SERPINE1,0.02281248,-0.476375
CREB3,0.017899941,-0.775
MAN1A1,0.031604799,-0.521125
DBN1,0.039663528,-0.356625
MTHFD1L,0.003489817,-0.706375
ACADS,0.042599297,-0.364
SDC4,0.02986972,-0.399
LAMA5,0.02273574,-0.443125
SPART,0.026124629,-0.583375
CAMK1,0.010617184,-0.798
ADCY3,0.022577036,-0.395375
SMAD4,0.016646322,-0.437625
PYCR2,0.032702464,-0.300875
DGKQ,0.014522866,-0.388375
SNCA,0.037945075,-0.650375
MFHAS1,0.032809792,-0.5055
TACC1,0.025891763,-0.59475
VLDLR,0.002542077,-0.716125
PDK1,0.029494599,-0.519875
ACE,0.026591279,-0.56275
CTBP1,0.02033693,-0.259
SDC3,0.009094687,-0.49175
ATXN7,0.010287238,0.2855
CFL2,0.023625557,-0.42075
TANC2,0.012234955,-0.284
HOXB2,0.038089581,-0.696375
BNIP3,0.02518695,-0.47975
CLDN7,0.004053647,-0.498625
TNFRSF18,0.020967636,-0.612875
NOXA1,0.012420146,0.360125
TDRD7,0.02149293,0.471875
MAN2A2,0.018238102,-0.599
HRH1,0.031138543,-0.472875
PDLIM7,0.039909032,0.32075
GALNT4,0.007213067,-0.635
ZNF224,0.018099674,-0.299
