"initial_alias","converted_alias","name","description","namespace"
"HCCS","3052","HCCS","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPATA20","64847","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM7A","80853","KDM7A","lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRSS21","10942","PRSS21","serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKD1","5310","PKD1","polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]","DBASS3,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCMH1","22955","SCMH1","Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRC2","9902","MRC2","mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEMA3B","7869","SEMA3B","semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIFM2","84883","AIFM2","apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSG2","1829","DSG2","desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPAN17","26262","TSPAN17","tetraspanin 17 [Source:HGNC Symbol;Acc:HGNC:13594]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP9A","10079","ATP9A","ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK2","5610","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC2A3","6515","SLC2A3","solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPHK2","56848","SPHK2","sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF275","105373378","ZNF275","zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF275","10838","ZNF275","zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTHFD2","10797","MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CACNB1","782","CACNB1","calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CBFB","865","CBFB","core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASSF1","11186","RASSF1","Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MNT","4335","MNT","MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2B1","490","ATP2B1","ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPEG","10290","SPEG","striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDE8A","5151","PDE8A","phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CELSR1","9620","CELSR1","cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS9D1","9605","VPS9D1","VPS9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13526]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF37A","7587","ZNF37A","zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITCH","83737","ITCH","itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITCH","83737","None","novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNS1","7145","TNS1","tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MID2","11043","MID2","midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRAF5","7188","TRAF5","TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ULK2","9706","ULK2","unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF416","55659","ZNF416","zinc finger protein 416 [Source:HGNC Symbol;Acc:HGNC:20645]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCORL1","63035","BCORL1","BCL6 corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:25657]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDHD2","23259","DDHD2","DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX10","29887","SNX10","sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHL42","57542","KLHL42","kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DOCK9","23348","DOCK9","dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RCOR1","23186","RCOR1","REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCD7","10081","PDCD7","programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB11FIP3","9727","RAB11FIP3","RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNRC6A","27327","TNRC6A","trinucleotide repeat containing adaptor 6A [Source:HGNC Symbol;Acc:HGNC:11969]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UPRT","139596","UPRT","uracil phosphoribosyltransferase homolog [Source:HGNC Symbol;Acc:HGNC:28334]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMIM24","284422","SMIM24","small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LZTR1","8216","LZTR1","leucine zipper like post translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XBP1","7494","XBP1","X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUN2","25777","SUN2","Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BIK","638","BIK","BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZC3H7B","23264","ZC3H7B","zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CGRRF1","10668","CGRRF1","cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PCK2","5106","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
